10003162	(157193 817892 22323134 7405912 18001433 15765489 15119641 10941332 43053339 23682192 9774292 ) 0.0 25229
10010982	(11595562 11879622 30065257 19383219 2046051 ) 0.0 25229
10033	(10316422 ) 0.0 25229
10052402	(14969532 ) 0.0 25229
10066712	() 0.0 25229
10071162	(9244392 ) 0.0 25229
10078292	(15883030 ) 0.0 25229
10083252	(30567029 28364768 ) 0.0 25229
10085872	(20352963 23970770 25732227 33206258 38740639 11809172 18813684 19513062 ) 0.0 25229
10087222	(14408366 ) 0.0 25229
10132722	(7717062 ) 0.0 25229
10138752	(44962735 16629016 ) 0.0 25229
10142812	(10382572 19532920 ) 0.0 25229
10165372	(16434256 ) 0.0 25229
10171572	(25049468 ) 0.0 25229
10177682	(671013 ) 0.0 25229
10210702	(19948044 ) 0.0 25229
10232582	(15449444 ) 0.0 25229
10242222	(14757517 ) 0.0 25229
10258272	(57739962 ) 0.0 25229
10270042	(15746645 ) 0.0 25229
10276782	() 0.0 25229
1027891	(26727935 ) 0.0 25229
10312392	(59136768 18189237 22539826 ) 0.0 25229
10316422	(13898542 ) 0.0 25229
10339352	(33175842 ) 0.0 25229
10349422	(52454440 20639600 14746423 6634482 36019258 4122611 ) 0.0 25229
1035491	(17202653 12716 724893 771248 796409 820678 1132291 1214091 1436551 2046051 3262301 6968082 7212162 7455242 7944622 8059272 8359362 8460332 8726942 9295102 9536212 9697042 9768252 10473582 11760082 11879622 11970082 13053942 13910972 14081288 14086953 14136886 14168970 14173971 14231885 14371136 14459145 14626188 14771972 14783335 14821347 15074233 15101263 15127804 15228226 15265194 15279621 15288406 15301640 15364615 15448838 15459942 15536464 15598374 15713200 15717433 15936314 15981649 16335920 16404741 16478093 16629016 16942928 17008378 17119513 17157438 17220905 17329107 17367283 17425246 17467300 17497773 17584179 17625467 17675280 17701591 17837158 17977551 18008804 18030304 18066750 18098583 18226951 18249613 18339919 18478762 18567205 18810441 18980740 19010071 19110762 19207849 19383219 19511477 19569980 19599271 19909768 20371409 20439922 20625644 21438748 21773709 22088677 22231841 23123427 24902209 25215232 26150361 26179147 27615378 29207381 34413940 38175619 39115770 43245456 47538354 51395583 51615168 52858102 57026989 60669323 ) 0.0 25229
10364092	() 0.0 25229
10374862	(50355716 ) 0.0 25229
10375642	(8351762 ) 0.0 25229
10382572	() 0.0 25229
